web-scraper-order,web-scraper-start-url,titulo,precio,mets
1620502986-8393,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?page=3,El Refugio OPORTUNIDAD Terreno  plano frente 8.18 largo 20.00 fondo 8.58,"$1,142,000",167 m²
1620503043-8648,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/terreno/for-sale/,"Fracc.  El Mirador,  Terreno con 2  proyectos  sobre Avenidas principales.","$4,500",3774 m²
1620502924-8147,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?page=2,SE VENDE TERRENO EN MILENIO,"$6,500,000",3304 m²
1620503058-8711,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/terreno/for-sale/?page=2,Terrenos en venta en Jurica de 2474 m2,"$5,500",2474 m²
1620502885-7995,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?page=4,Terreno en Campanario zona construida 653 mts2! RCS,"$6,900,000",653 m²
1620502963-8317,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/el-pueblito-centro/terreno/for-sale/?page=1,Terreno en Venta en El Condado,"$934,700",181 m²
1620502963-8298,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/el-pueblito-centro/terreno/for-sale/?page=1,El Pueblito - Terreno habitacional. Residencial con amenidades,"$348,783",126 m²
1620503058-8692,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/terreno/for-sale/?page=2,Terreno en Venta en FRACCIONAMIENTO JURICA,"$4,800,000",600 m²
1620503079-8804,https://www.lamudi.com.mx/queretaro-arteaga/juriquilla-1/terreno/for-sale/?page=1,TERRENOS RESIDENCIALES DE 200 m²,"$1,299,000",200 m²
1620502993-8417,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?page=2,Terrenos en venta a partir de 600m2 con uso mixto en excelente ubicación.,"$4,216,000",620 m²
1620503071-8762,https://www.lamudi.com.mx/queretaro-arteaga/juriquilla-1/terreno/for-sale/?page=2,"LOTE EN VENTA EN SAN MIGUEL DE ALLENDE DE 8,798.00 M2","$1,759,600",8798 m²
1620502979-8360,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?page=4,Terreno en El Refugio de 726 mts2! RAHQRO 20-798,"$6,467,523",726 m²
